author,publishedAt,likeCount,textOriginal,clean_text,sentiment
@MrBeast,2024-08-04T02:28:50Z,87252,how long could you have stayed in the bunker?,how long could you have stayed in the bunker,Negative
@generallygay2831,2024-08-10T07:09:39Z,0,wowwwwwwwwwwâ¤â¤,wowwwwwwwwww,Neutral
@namefame5837,2024-08-10T07:09:10Z,0,Love from Bangladesh,love from bangladesh,Positive
@Kian-ch7qn,2024-08-10T07:06:24Z,0,Day 100 of telling me beast to put me in a video,day 100 of telling me beast to put me in a video,Neutral
@mylmaxe,2024-08-10T07:04:50Z,1,Hugo carried so much lol,hugo carried so much lol,Positive
@thilaiang650,2024-08-10T07:03:21Z,0,New video ğŸ”¥,new video ,Positive
@PWOJWOKOCHALLA-u9g,2024-08-10T07:03:11Z,0,i will stay 1 year,i will stay 1 year,Neutral
@Its_sherazmohana,2024-08-10T06:58:56Z,2,How to survive in nuclear bunkers ğŸ˜®ğŸ˜®,how to survive in nuclear bunkers ,Neutral
@saminsikdervlog,2024-08-10T06:57:45Z,0,Love you mr beast ğŸ’˜,love you mr beast ,Positive
@toqeerkazmi6834,2024-08-10T06:55:17Z,5,I am waiting for my cookie in Pakistan ğŸ˜Š,i am waiting for my cookie in pakistan ,Neutral
